Category,Probability
Chances Are Slight,10
Chances Are Slight,10
Unlikely,10
Unlikely,10
Probably Not,10
Probably Not,10
Chances Are Slight,10
Highly Unlikely,10
Improbable,10
Little Chance,10
We Doubt,10
Chances Are Slight,10
Unlikely,10
Little Chance,10
Little Chance,10
Almost No Chance,10
Unlikely,10
Probably Not,10
Highly Unlikely,10
We Doubt,10
Improbable,10
Chances Are Slight,10
We Doubt,10
Little Chance,10
Highly Unlikely,10
Chances Are Slight,10
Chances Are Slight,10
Unlikely,10
Little Chance,10
Highly Unlikely,10
Chances Are Slight,10
We Doubt,10
Unlikely,10
Little Chance,10
Chances Are Slight,10
Highly Unlikely,10
We Doubt,12
Unlikely,12
Chances Are Slight,12
Improbable,12
Little Chance,13
Chances Are Slight,13
Chances Are Slight,13
Probably Not,15
Chances Are Slight,15
Chances Are Slight,15
Improbable,15
Probably Not,15
Unlikely,15
Little Chance,15
Highly Unlikely,15
Unlikely,15
Almost No Chance,15
Chances Are Slight,15
Chances Are Slight,15
Little Chance,15
Unlikely,15
Little Chance,15
Unlikely,15
Improbable,15
Little Chance,15
Highly Unlikely,15
Chances Are Slight,15
Highly Likely,15
Highly Unlikely,15
Little Chance,15
Chances Are Slight,15
Highly Unlikely,15
We Doubt,15
Probably Not,15
Little Chance,15
Chances Are Slight,15
Improbable,15
Highly Unlikely,15
We Doubt,15
Chances Are Slight,15
We Doubt,17
Little Chance,17
Little Chance,17
Little Chance,17
Unlikely,18
Little Chance,18
Improbable,20
Little Chance,20
We Doubt,20
Little Chance,20
Little Chance,20
Probably Not,20
Chances Are Slight,20
Unlikely,20
Little Chance,20
Highly Unlikely,20
Little Chance,20
We Doubt,20
Improbable,20
Little Chance,20
Little Chance,20
We Doubt,20
Unlikely,20
Probably Not,20
Improbable,20
Little Chance,20
Little Chance,20
Chances Are Slight,20
Unlikely,20
Highly Unlikely,20
Probably Not,20
Improbable,20
Probably Not,20
Little Chance,20
Little Chance,20
Probably Not,20
Probably Not,20
Unlikely,20
Improbable,20
Improbable,20
Chances Are Slight,20
Unlikely,20
Probably Not,20
Unlikely,20
Improbable,20
We Doubt,21
Unlikely,24
Highly Unlikely,25
Chances Are Slight,25
Unlikely,25
Unlikely,25
Probably Not,25
Unlikely,25
Probably Not,25
We Doubt,25
Probably Not,25
Chances Are Slight,25
We Doubt,25
Probably Not,25
We Doubt,25
We Doubt,25
Little Chance,25
We Doubt,25
Unlikely,25
Little Chance,25
Probably Not,25
We Doubt,25
Improbable,25
Unlikely,25
Probably Not,25
Probably Not,25
Improbable,25
Unlikely,25
We Doubt,25
We Doubt,25
Unlikely,25
Probably Not,25
Little Chance,25
We Doubt,25
Probably Not,26
Probably Not,27
Improbable,29
Little Chance,29
Unlikely,30
We Doubt,30
We Doubt,30
Chances Are Slight,30
Improbable,30
Improbable,30
Unlikely,30
Unlikely,30
Probably Not,30
We Doubt,30
We Doubt,30
Unlikely,30
Probably Not,30
Improbable,30
We Doubt,30
Probably Not,30
Chances Are Slight,30
Probably Not,30
Chances Are Slight,30
Chances Are Slight,30
Unlikely,30
Probably Not,30
Probably Not,30
Highly Unlikely,30
We Doubt,30
Probably Not,30
Improbable,33
We Doubt,33
We Doubt,33
Probably Not,34
Unlikely,34
Improbable,35
Unlikely,35
Probably Not,35
Chances Are Slight,35
Unlikely,35
Probably Not,35
Unlikely,35
Unlikely,35
Improbable,35
Unlikely,35
Unlikely,36
We Doubt,38
We Doubt,40
Likely,40
Probably Not,40
Probably Not,40
Probably Not,40
Improbable,40
Probably Not,40
Chances Are Slight,40
We Doubt,40
Probably Not,40
We Doubt,40
About Even,40
We Doubt,40
We Doubt,40
Probably Not,40
Probably Not,40
Probably Not,40
Probably,45
About Even,45
We Doubt,45
Probably Not,45
We Believe,45
About Even,45
About Even,48
Improbable,49
Probably Not,49
Improbable,49
About Even,49
Improbable,49
About Even,49
Probably Not,49.9
About Even,50
About Even,50
About Even,50
About Even,50
About Even,50
Improbable,50
About Even,50
About Even,50
About Even,50
About Even,50
About Even,50
About Even,50
We Believe,50
About Even,50
About Even,50
About Even,50
About Even,50
About Even,50
About Even,50
We Believe,50
About Even,50
About Even,50
About Even,50
About Even,50
About Even,50
We Believe,50
About Even,50
About Even,50
About Even,50
We Believe,50
About Even,50
About Even,50
About Even,50
About Even,50
We Believe,50
About Even,50
Probable,50
We Believe,50
About Even,50
About Even,50
About Even,50
About Even,50
Probably,50
About Even,50
About Even,50
About Even,50
About Even,50
Better Than Even,50.1
Probable,51
Probably,51
We Believe,51
Better Than Even,51
Probable,51
Probable,51
Better Than Even,51
Better Than Even,51
Better Than Even,51
Better Than Even,51
Better Than Even,51
Better Than Even,51
About Even,52
About Even,52
Better Than Even,53
Better Than Even,55
Better Than Even,55
Better Than Even,55
Probably,55
Better Than Even,55
Better Than Even,55
Probably,55
Better Than Even,55
Better Than Even,55
Better Than Even,55
We Believe,55
Better Than Even,57
Better Than Even,60
Better Than Even,60
Better Than Even,60
Better Than Even,60
Better Than Even,60
We Doubt,60
Likely,60
Better Than Even,60
Almost Certainly,60
Likely,60
We Believe,60
Probably,60
Better Than Even,60
Probably,60
Probable,60
Probable,60
Better Than Even,60
We Believe,60
Better Than Even,60
Probable,60
Probably,60
Better Than Even,60
Better Than Even,60
Better Than Even,60
Better Than Even,60
Probable,60
Probably,60
We Believe,60
Probable,60
We Believe,60
Better Than Even,60
We Believe,60
Better Than Even,60
Likely,60
Better Than Even,60
We Doubt,60
Probably,60
We Believe,60
Better Than Even,60
Likely,60
Better Than Even,60
Better Than Even,60
Better Than Even,60
Probably,60
Likely,60
Probable,64
We Believe,65
Better Than Even,65
Very Good Chance,65
Likely,65
We Believe,65
We Believe,65
Probably,65
Better Than Even,65
Likely,65
Likely,65
Likely,65
Likely,65
Likely,65
Probable,65
Likely,65
Probably,65
Probable,65
Probably,65
We Believe,65
Probably,65
Probable,65
Likely,65
Likely,66
We Believe,66
Better Than Even,67
Probably,68
Highly Likely,69
Better Than Even,69
Probable,70
Probably,70
Probable,70
Probably,70
Probable,70
Likely,70
Probable,70
Likely,70
Probable,70
Probable,70
Probably,70
Probable,70
Very Good Chance,70
Very Good Chance,70
Probable,70
Likely,70
Probable,70
Likely,70
Very Good Chance,70
Likely,70
We Believe,70
Likely,70
Likely,70
Probable,70
We Believe,70
Very Good Chance,70
We Believe,70
Probable,70
Likely,70
Probably,70
Highly Likely,70
Likely,70
We Believe,70
Likely,70
Very Good Chance,74
Probable,75
Probably,75
Highly Likely,75
Very Good Chance,75
Likely,75
Likely,75
Likely,75
Probably,75
Likely,75
Probably,75
Very Good Chance,75
We Believe,75
Likely,75
Probably,75
Probable,75
Likely,75
Probably,75
Likely,75
We Believe,75
Very Good Chance,75
Probably,75
Probably,75
We Believe,75
Very Good Chance,75
Likely,75
Probably,75
Probable,75
Probably,75
Very Good Chance,75
Very Good Chance,75
Very Good Chance,75
Probable,75
Probable,75
Probably,75
Likely,75
Very Good Chance,75
We Believe,75
Very Good Chance,75
Probable,75
Very Good Chance,75
Likely,75
We Believe,75
Probable,75
Probable,75
Probable,75
Probably,75
Very Good Chance,75
Very Good Chance,75
Probable,75
Probably,76
Highly Likely,80
We Believe,80
We Believe,80
Very Good Chance,80
We Believe,80
Probable,80
We Believe,80
Probably,80
Very Good Chance,80
Probably,80
We Believe,80
Highly Likely,80
Very Good Chance,80
Very Good Chance,80
Probably,80
We Believe,80
Likely,80
Probable,80
Highly Likely,80
Very Good Chance,80
Likely,80
Probable,80
Probably,80
We Believe,80
Very Good Chance,80
Very Good Chance,80
Almost Certainly,80
Highly Likely,80
Very Good Chance,80
We Believe,80
Probable,80
Very Good Chance,80
Better Than Even,80
Very Good Chance,80
Likely,80
Probably,80
Better Than Even,80
Probably,80
Probably,80
Almost Certainly,80
Probable,80
Likely,80
Probably,80
Probable,80
Very Good Chance,80
Highly Likely,80
Very Good Chance,80
Very Good Chance,80
Highly Likely,80
Highly Likely,80
Very Good Chance,82
Highly Likely,84
Very Good Chance,85
Highly Likely,85
Very Good Chance,85
Highly Likely,85
Very Good Chance,85
Very Good Chance,85
Almost Certainly,85
Highly Likely,85
Very Good Chance,85
Very Good Chance,85
Probable,85
We Believe,85
Highly Likely,85
We Believe,85
Likely,85
Probably,85
We Believe,85
Probable,85
Likely,85
Probably,85
Highly Likely,85
Probable,85
Probably,85
Almost Certainly,85
Highly Likely,85
Highly Likely,85
Highly Likely,85
Almost Certainly,85
Highly Likely,85
We Believe,85
Almost Certainly,85
Almost Certainly,85
Likely,86
Very Good Chance,87
Almost Certainly,88.7
Probable,90
Almost Certainly,90
Very Good Chance,90
Almost Certainly,90
Highly Likely,90
We Believe,90
Highly Unlikely,90
Highly Likely,90
Highly Likely,90
Very Good Chance,90
Highly Likely,90
Almost Certainly,90
Highly Likely,90
Almost Certainly,90
Highly Likely,90
Highly Likely,90
Likely,90
Very Good Chance,90
Probably,90
Probably,90
Almost Certainly,90
Likely,90
Very Good Chance,90
Probable,90
Likely,90
Highly Likely,90
Highly Likely,90
Very Good Chance,90
Likely,90
Probably,90
Highly Likely,90
Probable,90
We Believe,90
Almost Certainly,90
Very Good Chance,90
Highly Likely,90
Very Good Chance,91
Almost Certainly,92
Highly Likely,92
Almost Certainly,95
Almost Certainly,95
Almost Certainly,95
Almost Certainly,95
Highly Likely,95
Almost Certainly,95
Highly Likely,95
Highly Likely,95
Almost Certainly,95
Highly Likely,95
Almost No Chance,95
Almost Certainly,95
Highly Likely,95
Almost Certainly,95
Highly Likely,95
Almost Certainly,95
Almost Certainly,95
Almost Certainly,95
Highly Likely,95
Highly Likely,95
Almost Certainly,95
Almost Certainly,95
Almost Certainly,95
We Believe,95
We Doubt,95
Almost Certainly,95
Almost Certainly,96
Highly Likely,96
Highly Likely,96
Almost Certainly,97
Highly Likely,97
Almost Certainly,97
Almost Certainly,98
Highly Likely,98
Almost Certainly,98
Almost Certainly,98
Almost Certainly,98
Better Than Even,98
Almost Certainly,98
Almost Certainly,98
Almost Certainly,98
Highly Likely,99
Almost Certainly,99
Almost Certainly,99
Almost Certainly,99
Almost Certainly,99
Almost Certainly,99
We Doubt,100
Probably Not,100
Little Chance,100
We Believe,100
